kljuc;naziv
1005;Novčani račun u predstečajnom postupku
1006;Novčani račun okvirnog kredita
1007;Poseban račun u banci
1008;Račun društva u osnivanju
1009;Transakcijski prijelazni račun
101;Otvoreni akreditiv u domaćoj banci
102;Blagajne
1020;Glavna blagajna (uključivo i plemenitih metala)
1021;Blagajna vrijednosnica (poštanskih, taksenih maraka i dr. vrijednosnica)
1022;Blagajna prodavaonice
10220;Novac u blagajni
10221;Kuponi (bonovi) u blagajni
10222;Napojnice naplaćene u prodavaonici
1023;Blagajna servisa
1024;Blagajna recepcije (šanka)
10241;Napojnice naplaćene u ugostiteljstvu
1025;Blagajna radne jedinice
1028;Blagajna za ostalo
1029;Prijelazni račun blagajne prodavaonice
103;Devizni računi
1030;Devizni račun u domaćoj banci (analitika po devizama)
1031;Devizni račun u inozemnoj banci (u EU)
1032;Devizni račun reeksportnih poslova
1034;Devizni račun investicijskih radova
1035;Devizni račun poslovne jedinice u inozemstvu
1036;Devizni račun vlasničkih ulaganja
1037;Nerezidentski devizni račun
1038;Devizni račun terminskih poslova
1039;Prijelazni devizni račun
104;Otvoreni akreditiv u stranim valutama
1040;Otvoreni devizni akreditiv u domaćoj banci
1041;Otvoreni akreditiv u inozemnoj banci
1042;Escrow račun
105;Devizna blagajna
1050;Glavna devizna blagajna
1051;Devizna blagajna za službena putovanja u inozemstvo
1052;Devizna blagajna za troškove prijevoza robe u inozemstvo
1053;Devizna blagajna za mjenjačke poslove
1055;Devizna blagajna za razne isplate
106;Novac za kupnju deviza
108;Ostala novčana sredstva
109;Vrijednosno usklađenje depozita u bankama
11;FINANCIJSKA IMOVINA (KRATKOTRAJNA)
110;Ulaganja u udjele (dionice) i ostale vrijednosne papire poduzetnika unutar grupe
1100;Ulaganja u udjele (dionice) poduzetnika unutar grupe
1101;Ulaganja u ostale vrijednosne papire poduzetnika unutar grupe
111;Dani zajmovi, depoziti i slično poduzetnicima unutar grupe
1110;Dani zajmovi poduzetnicima unutar grupe
1111;Dani depoziti poduzetnicima unutar grupe
1112;Dane kaucije, kapare i slično poduzetnicima unutar grupe
1113;Realizirana jamstva poduz. unutar grupe
112;Ulaganja u udjele (dionice) i ostale vrijednosne papire društava povezanih sudjelujućim interesom
1120;Ulaganja u udjele (dionice) društava povezanih sudjelujućim interesom
1121;Ulaganja u ostale vrijednosne papire društava povezanih sudjelujućim interesom
113;Dani zajmovi, depoziti i slično društvima povezanim sudjelujućim interesom
1130;Dani zajmovi društvima povezanim sudjelujućim interesom
1131;Dani depoziti društvima povezanim sudjelujućim interesom
1132;Dane kaucije, kapare i slično društvima povezanim sudjelujućim interesom
