kljuc;naziv
2473;Ostale obveze prema carini
248;Obveze za lokalne poreze i druga davanja
2481;Obveza za porez na potrošnju u ugostiteljstvu
2482;Obveza za porez na cestovna motorna vozila
2483;Obveze za naknadu za nezapošljavanje osoba s invaliditetom
2484;Obveze za ostale poreze županiji, gradu ili općini
249;Ostale obveze javnih davanja
2490;Obveze za nadoknadu za šume
2491;Obveze prema lokalnoj samoupravi za financiranje komunalne izgradnje
24910;Obveze iz akumulirana invest. sredstva L.S.
24911;Obveze iz prenamjene zemljišta, legalizaciju i sl.
2492;Obveze za zakonske kazne
2493;Obveze za turističku pristojbu
2494;Obveze za naknade za iskorištav. mineral. sirovina
2495;Obveze za koncesije
2496;Obveze za spomeničku rentu
2497;Obveze za naknade za ambalažu
2498;Obveze za poreze po reprogramu MF PU
2499;Ostale obveze za ostala javna davanja
25;DUGOROČNE OBVEZE (ZA DUŽE OD JEDNE GODINE)
250;Obveze prema poduzetnicima unutar grupe
2500;Obveze prema poduzetnicima unutar grupe
25000;Obveze prema poduzetnicima unutar grupe za primljene robe i usluge
25001;Ostale dugoročne obveze prema poduzetnicima unutar grupe
2501;Obveze za zajmove, depozite i slično poduzetnika unutar grupe
25010;Obveze za zajmove poduzetnika unutar grupe
25011;Obveze za depozite poduzetnika unutar grupe
25012;Obveze za kaucije, kapare i slično poduzetnika unutar grupe
25013;Obveze po dugoročnim jamstvima (realiziranim) unutar grupe
251;Obveze za zajmove, depozite i sl.
2510;Obveze za financijske zajmove
2511;Obveze za dugoročne hipotekarne zajmove prema društvima
2512;Obveze za dugoročne zajmove prema građanima
2513;Obveze za dugoročne zajmove članova društva
2514;Obveze za dugoročne zajmove iz inozemstva
2515;Obveze za depozite
2516;Obveze za kapare
2517;Obveze s osnove jamstva (realiziranih)
2518;Obveze za zajmove prema povezanim osobama koji nisu grupa ni društva povezana sudjelujućim interesom
2519;Ostale obveze za dugoročne zajmove
252;Obveze prema bankama i dr. financijskim institucijama
2520;Dugoročni financijski krediti banaka (analitika po bankama a unutar toga po sklopljenim ugovorima o kreditu)
2521;Dugoročni krediti od osiguravajućih društava (analitika po društvima a unutar toga po sklopljenim ugovorima)
2522;Dugoročni krediti od ostalih domaćih kreditnih institucija (fonda, i dr.)
2523;Dugoročni krediti od inozemnih banaka i drugih inozemnih kreditnih institucija
2529;Dugoročne obveze za kamate
253;Dugoročne obveze iz financijskog i operativnog lizinga
2530;Financijski najam vozila, brodova i dr.
2531;Povratni financijski najam (npr. nekretnina brodova, tramvaja, vlakova i dr.)
2532;Operativni najam vozila, zrakoplova i brodova (za obveznike MSFI-ja 16)
2533;Operativni najam ostale opreme (za obveznike MSFI-ja 16)
2534;Financijski najam opreme
2535;Dugoročne obveze za prava
254;Obveze za predujmove
2540;Obveze za dugoročne predujmove (avanse) za izgradnju objekata i postrojenja
2541;Obveze za dugoročne predujmove za isporuke zaliha
2542;Ostale dugoročne obveze za predujmove
255;Obveze prema dobavljačima (neisplaćene dugoročne obveze prema vjerovnicima s osnove poslovanja)
2550;Obveze prema dobavljačima s rokom plaćanja duljim od godine dana (npr. kod izgradnje)
2551;Obveze prema dobavljačima iz inozemstva (dugoročne)
2552;Obveze prema dobavljačima iz ostalih poslovnih aktivnosti
2553;Obveze prema dobavljačima za zadržani dio iz jamstva
2554;Dugoročne obveze za najmove
256;Obveze po vrijednosnim papirima (dugoročnim)
2560;Obveze za izdane dugoročne obveznice
2561;Obveze za dugoročne komercijalne vrijednosne papire
2562;Obveze za dugoročne mjenice
2563;Obveze po ostalim dugoroč. vrijednos. papirima
2568;Obveze za kamate iz obveznica
2569;Diskont na vrijednosne papire (kao razlika do nominalne vrijednosti)
257;Obveze prema društvima povezanim sudjelujućim interesom
2570;Obveze prema društvima povezanim sudjelujućim interesom
25700;Obveze prema društvima povezanim sudjelujućim interesom za primljene robe i usluge
25701;Ostale obveze prema društvima povezanim sudjelujućim interesom
2571;Obveze za zajmove, depozite i slično društava povezanih sudjelujućim interesom
25710;Obveze za zajmove društava povezanih sudjelujućim interesom
25711;Obveze za depozite društava povezanih sudjelujućim interesom
25712;Obveze za kaucije, kapare i slično društava povezanih sudjelujućim interesom
25713;Obveze po jamstvima (realiziranim) iz sudj. int.
258;Obveze prema Državi (realizirana jamstva, krediti, plaćene koncesije)
259;Ostale dugoročne obveze
2590;Obveze prema zakladama, komorama i sl.
2591;Dugoročne obveze za porez
2592;Dugoročne obveze za socijalno osiguranje
2593;Obveze za dugoročne jamčevine
2594;Dugoročne obveze iz ortaštva ili zajedničkog poslovanja
2599;Ostale dugoročne obveze
26;ODGOĐENI POREZI
260;Odgođena porezna obveza
2600;Odgođena privremena razlika porezne obveze (analitika po godinama − HSFI t. 12.22. i MRS 12, t. 5.)
28;DUGOROČNA REZERVIRANJA ZA RIZIKE I TROŠKOVE
280;Rezerviranja za otpremnine i mirovine
2800;Rezerviranja za otpremnine
2801;Rezerviranja za mirovine
281;Rezerviranja za porezne obveze
2810;Dugor. rezerv. za odg. plać. poreza i dopr.
282;Rezerviranja za započete sudske sporove
2820;Dugoročna rezerviranja za gubitke po započetim sudskim sporovima
283;Rezerviranja za troškove obnavljanja prirodnih bogatstava
2830;Dugoročna rezerviranja za obnovu prirodnog bogatstva
284;Rezerviranja za troškove u jamstvenim rokovima
2840;Dugoročna rezerviranja za troškove izdanih jamstava za prodana dobra
285;Druga rezerviranja
2850;Dugor. rezerv. za neiskorištene god. odmore (MRS 19, t. 14. i HSFI 13) – vidi i račun 298
2851;Dugoročno rezerviranje za restrukturiranje (MRS 37 i HSFI t. 16.22.)
2852;Rezerviranje za ugovore s poteškoćama (MRS 37, t. 66. i HSFI t. 16.21.)
2853;Dugoročna rezerviranja za jubilarne nagrade
2854;Ostala dugoročna rezerviranja za rizike i dr. očekivane troškove
29;ODGOĐENO PLAĆANJE TROŠKOVA I PRIHOD BUDUĆEG RAZDOBLJA
290;Odgođeno plaćanje troškova
2900;Obračunani troškovi za koje nije primljena faktura (telefon, grijanje, el. energija, plin, voda i sl.)
2901;Obračunana najamnina iz operativnog (poslovnog) najma
2902;Obračunani troškovi tekućeg održavanja
2903;Obračunani troškovi reklame, propagande i sajmova
2904;Obračunane a neplaćene usluge korištene u obračunskom razdoblju
2905;Obračunani rad po ugovoru o djelu, autor. hon.
2906;Obračunani kalo, rastep, kvar i lom
2907;Obračunani troškovi premije osiguranja
2908;Uračunani troškovi službenih glasila i stručnih časopisa
2909;Obračunani ostali troškovi poslovanja (troškovi prijevoza, bankovne usluge i platni promet, reprezentacija i dr.)
291;Obračunani troškovi korištenih prava
2910;Obračunani troškovi franšiza, korištenih trgovačkih znakova, prava i sl.
2911;Obračunani troškovi licencija
2912;Obračunani troškovi autorskih prava
2913;Odgođeno plaćanje troškova za ostala prava
292;Obračunani troškovi nabave i izrade dobara
2920;Obračunani ovisni troškovi nabave (za koje nisu primljeni računi) – prijevoz, osiguranje, špedicija i dr. vanjski troškovi
2921;Obračunani trošak plaće
2922;Obračunani opći troškovi proizvodnje
293;Obračunani prihodi budućeg razdoblja
2930;Odgođeni prihodi radi neizvjesnih troškova
2931;Obračunani prihodi budućeg razdoblja koji su rezultat primjene računovodstvene politike
2932;Odgođeno priznavanje prihoda kad se predviđa povrat robe
2933;Odgođeni prihodi iz otkupa tražbine (faktoring koji nije zarađen)
2934;Odgođeni prihodi od kamata iz financijskog lizinga
2935;Odgođeni prihodi iz operativnog lizinga
2936;Obračunane (anticipativne) kamate na dane zajmove i zatezne kamate (za buduće razdoblje)
2937;Unaprijed obračunane ili naplaćene školarine
2938;Odgođeni prihodi iz ortaštva
2939;Ostali odgođeni prihodi budućeg razdoblja (npr. ugovorna obveza, nagrada za vjernost kupaca)
294;Odgođeni prihodi iz državnih potpora (HSFI t. 15.37 i MRS 20, t. 12. i 24.)
2940;Odgođeni prihodi iz državnih i lokalnih potpora za dugotrajnu nematerijalnu i materijalnu imovinu (analitike po namjenskim primitcima iz proračuna – po investicijama)
2941;Odgođeni prihodi za D. I. iz fondova EU
2942;Odgođeni prihodi iz potpora za zapošljavanje
2943;Odgođeno priznavanje prihoda za unaprijed naplaćene subvencije i potpore
2944;Odgođeni prihodi ostalih potpora
295;Odgođeno priznavanje prihoda
2950;Razgraničeni višak prihoda od prodaje i povratnog financijskog najma
2951;Odgođeni prihodi od neiskorištenih popusta (MSFI 15, t. 73. – 80.)
2952;Odgođeni prihod od prodaje na malo za produženo jamstvo
296;Odgođeni prihod s osnove nefakturiranih isporuka dobara i usluga
297;Nerealizirani dobitci iz financijske imovine (HSFI 9 i MSFI 9)
298;Odgođeni fakturirani prihod za koji nije nastala isporuka
299;Ostala pasivna vremenska razgraničenja
2990;Ostala pasivna vremenska razgraničenja troškova
3;ZALIHE SIROVINA I MATERIJALA, REZERVNIH DIJELOVA I SITNOG INVENTARA
30;OBRAČUN TROŠKOVA KUPNJE ZALIHA
300;Kupovna cijena dobavljača
3000;Fakturna cijena sirovina i materijala na putu
3001;Fakturna cijena sirovina i materijala
3002;Fakturna cijena rezervnih dijelova
3003;Fakturna cijena sitnog inventara, autoguma, rez. dijelova i ambalaže
3005;Materijal i dijelovi u preuzimanju (nema dokumentacije)
301;Ovisni troškovi nabave (u svezi s dovođenjem na zalihu)
3010;Troškovi transporta
3011;Troškovi ukrcaja i iskrcaja (fakturirani)
3012;Transportno osiguranje i čuvanje
3013;Posebni troškovi pakiranja – ambalaže
3014;Troškovi vlastitog transporta
3015;Troškovi vlastitog ukrcaja i iskrcaja
3016;Troškovi špeditera
3017;Troškovi atesta i kontrole
3018;Troškovi dorade i oplemenjivanja za vrijeme dovođenja na zalihu
3019;Ostali ovisni troškovi nabave
302;Carina i druge uvozne pristojbe
303;Posebni porezi (trošarine) koji se ne mogu odbiti
309;Obračun troškova kupnje
3090;Obračun nabave sirovina i materijala, dijelova i sitnog inventara koji se skladišti
3091;Obračun nabave sirovina i materijala i dijelova koji izravno terete troškove
31;SIROVINE I MATERIJAL NA ZALIHI
310;Sirovine i materijal u skladištu
3100;Zalihe sirovina i materijala
3101;Zalihe goriva i maziva
3102;Poluproizvodi za ugradnju ili proizvodnju
3103;Uredski materijal i pribor
3104;Zalihe materijala s temelja povezane proizvodnje
3105;Zalihe ambalažnog materijala
3106;Zalihe materijala kod kooperanata
3107;Materijal na zalihi u javnom ili drugom skladištu
3108;Zalihe pića, hrane i dr. u ugostiteljstvu i hotelijerstvu
3109;Zalihe otpadnog i rashodovanog materijala
311;Materijal u doradi, obradi i manipulaciji
3110;Materijal u doradi, obradi i oplemenjivanju
3111;Materijal u manipulaciji i na putu
3112;Troškovi dorade, obrade i oplemenjivanja
312;Materijal na doradi kod ortaka
313;Zalihe materijala za poljoprivredu
3130;Zalihe sjemena i sadnog materijala
3131;Zalihe komponenti za proizvodnju
318;Odstupanje od cijene zaliha
319;Vrijednosno usklađenje zaliha sirovina i materijala
32;ZALIHE REZERVNIH DIJELOVA
320;Rezervni dijelovi na zalihi
3200;Rezervni dijelovi za servisne usluge
3201;Dijelovi i sklopovi za ugradnju (u proizvode)
3202;Rezervni dijelovi za tekuće i investicijsko održavanje
3203;Zalihe polovnih rezervnih dijelova
3204;Zalihe otpadaka rezervnih dijelova
328;Odstupanje od cijene rez. dijelova na zalihi
329;Vrijednosno usklađenje zaliha rezervnih dijelova
35;ZALIHE SITNOG INVENTARA I AUTOGUMA
350;Sitan inventar na zalihi
3500;Sitan inventar na zalihi (analitika prema vrstama: alati, mjerni instrumenti, pribori, ostala sredstva rada male vrijednosti, radna i zaštitna odjeća, protupožarna i sanitetska sredstva, i dr.)
351;Ambalaža na zalihi (samo vlastita i višekratna, analitika prema vrstama)
352;Autogume na zalihi
358;Odstupanje od cijene
359;Vrijednosno usklađenje zaliha
36;ZALIHE SITNOG INVENTARA I AUTOGUMA U UPORABI
360;Sitan inventar u uporabi
361;Ambalaža u uporabi
362;Autogume u uporabi
363;Otpis sitnog inventara
364;Otpis ambalaže
365;Otpis autoguma
369;Vrijednosno usklađenje sitnog inventara, ambalaže i autoguma
37;PREDUJMOVI DOBAVLJAČIMA SIROVINA I MATERIJALA, REZERVNIH DIJELOVA, SITNOG INVENTARA I AUTOGUMA
370;Predujmovi dobavljačima materijala
371;Predujmovi dobavljačima rezervnih dijelova
372;Predujmovi dobavljačima sitnog inventara
373;Predujmovi dani uvozniku za nabavu sirovina i materijala, dijelova i inventara
374;Predujmovi inozemnim dobavljačima
379;Vrijednosno usklađenje danih predujmova
4;TROŠKOVI PREMA VRSTAMA, FINANCIJSKI I OSTALI RASHODI
40;MATERIJALNI TROŠKOVI
400;Troškovi sirovina i materijala (za proizvodnju dobara i usluga)
4000;Osnovni materijali i sirovine
4001;Dijelovi i sklopovi
4002;Poluproizvodi za ugradnju
4003;Pomoćni materijali (mazivo, ljepila, svrdla, pile, noževi, brusne ploče i dr.)
4004;Potrošni materijal za čišćenje i održavanje
4005;Materijal za HTZ zaštitu, radna i zaštitna odjeća i obuća
4006;Materijal pogonske administracije i menadžmenta (uredski potrošni i sl.)
4007;Troškovi oblikovanja proizvoda za posebne kupce
4008;Materijali u pomoćnoj djelatnosti (za restoran i dr.)
4009;Ostali izravni i opći troškovi pogona – uslužne jedinice (HSFI t. 10.17 i MRS 2, t. 10. do 19.)
401;Materijalni troškovi administracije, uprave i prodaje
4010;Uredski materijal (papir, registratori, olovke, tiskanice, toneri, USB stickovi, ulošci, kalendari, rokovnici, kuverte, kutije za otpremu i sl.)
4011;Materijal i sredstva za čišćenje i održavanje
4012;Troškovi otpisa uredskog sitnog inventara
4013;Ambalažni materijal, vrpce za blagajne, blokovi papira, pisači, naljepnice, etikete i dr.
4014;Voda (izvorska) za piće u uredima
4015;Ostali napitci (sokovi, kava, čaj) za potrebe zaposlenika s PDV-om
4016;Uniformirana radna odjeća i obuća
4017;Troškovi ukrasnog bilja i ukrasa (za blagdane)
4018;Ostali materijalni troškovi ureda i trgovine
402;Materijalni troškovi istraživanja, razvoja i uzoraka
4020;Troškovi projekta za temeljna istraživanja proizvoda
4021;Troškovi razvoja prototipova
4022;Troškovi ostalih aktivnosti razvoja
4023;Troškovi uzoraka
403;Troškovi ambalaže
4030;Troškovi neodvojive ambalaže u proizvodnji (boce, limenke, kutije i dr.)
4031;Troškovi paleta, gajbi i sl.
404;Trošak sitnog inventara, ambalaže i autoguma
4040;Troškovi uredskog sitnog inventara
4041;Troškovi radioničkog sitnog inventara
4042;Troškovi ambalaže (povratne, posebne) – otpis
4043;Troškovi autoguma (za kamione, autobuse, teretna vozila i strojeve)
4044;Troškovi autoguma (neto + PDV – 50%) za slučaj plaće u naravi
4045;50% troška autoguma za osobne automobile i dr. sredstva za osobni prijevoz
4046;50% troška autoguma za osobne automobile i dr. sred. za osob. prijevoz (s PDV-om)
405;Rezervni dijelovi i materijal za održavanje
4050;Potrošeni rezervni dijelovi za popravak vlastite opreme
4051;Materijal za održavanje opreme i objekata
4052;Trošak rez. dijelova za slučaj plaće u naravi
4055;50% troškova rezervnih dijelova i materijala za popravak automob., plovila i zrakopl. za osobni prijevoz
4056;50% troška rezervnih dijelova i materijala za održavanje automobila i dr. za osobni prijevoz – s 50% PDV-a
4057;Troškovi zamjene u jamstvenom roku
4058;Potrošeni vlastiti proizvodi i roba za održavanje
4059;Ostali troškovi rezervnih dijelova
406;Potrošena energija u proizvodnji dobara i usluga
4060;Električna energija
4061;Plin
4062;Mazut i ulje za loženje
4063;Dizelsko gorivo, benzin i motorno ulje (za stroj. i sl.)
4064;Trošak goriva za teretna vozila (kamione, autobuse, strojeve, brodove i sl.)
4065;Troškovi grijanja (drva, briketi, para)
4068;Trošak CO2 (ekološki porez)
4069;Ostali troškovi energije u proizvodnji
407;Potrošena energija u administraciji, upravi i prodaji
4070;Trošak električne energije
4071;Plin
4074;Gorivo za osob. automobile za slučaj plaće s 50% PDV-a
4075;50% troškova diesela i benzina za pogon automobila, plovila i zrakoplova za osobni prijevoz
4076;50% goriva za osobni prijevoz s 50% PDV-a
4077;Trošak goriva za teretna vozila, strojeve i brodove
4078;Troškovi energije za pogon el. automobila
4079;Ostali troškovi energije (grijanje, drva, briketi)
408;Troškovi zemljišta za izgradnju
4080;Trošak zemljišta za tržišnu izgradnju
4081;Trošak p.n.n. za zemljište za tržišnu izgradnju
4082;Trošak građ. dozvole i komunaln. naknade objekta za tržište
409;Odstupanja od standardnog troška
41;OSTALI VANJSKI TROŠKOVI (TROŠKOVI USLUGA)
410;Troškovi prijevoza, telekoma i sl.
4100;Troškovi telefona, interneta i sl.
4101;Poštanski troškovi
4102;Prijevozne usluge u cestovnom prometu
4103;Prijevozne usluge željeznicom
4104;Prijevozne usluge brodara i trajekta
4105;Prijevozne usluge zrakoplova
4106;Troškovi specijalnih prijevoza
4107;Usluge taksi – prijevoza
4108;Usluge dostave i logistike
4109;Ostale usluge prijevoza
41090;Troškovi vinjete, ENC-a, autoceste i sl.
41091;Usluga prijevoza radnika na posao i s posla
411;Troškovi vanjskih usluga pri izradi dobara i obavljanju usluga
4110;Usluge dorade (oplemenjivanja), izrade, prerade i sl. u proizvodnji i izgradnji
4111;Usluge kooperanata na zajedničkim uslugama prema trećima
4112;Usluge studentskog i omladinskog servisa i na izradi proizvoda
4113;Usluge pripreme teksta za tisak, za web. i sl.
4114;Grafičke usluge tiska i uveza
4115;Usluge hotela i smještaja radnika na terenu
4116;Usluge za iznajmljeni kapacitet
4117;Usluge rada vanjskog osoblja
4118;Usluge izrade ili popravka po ugovoru o djelu
4119;Ostale vanjske usluge na izradi dobara i proizvodnih usluga
41190;Usluge cateringa, muzike i sl. radi pružanja usluge drugima
412;Usluge održavanja i zaštite (servisne usluge)
4120;Nabavljene usluge tekućeg održavanja (bez vlastitog materijala i dijelova)
4121;Nabavljene usluge za investicijsko održavanje i popravke (bez vlastitog materijala i dijelova)
4122;Usluge održavanja teretnih vozila
4123;Usluge održavanja softvera i web stranica
4124;Usluge popravka prodanih a neispravnih dobara u jamstvenom roku
4125;Usluge održavanja osobnih automobila
41250;50% usluga servisa za održavanje automobila, plovila i zrakoplova koji služe za osobni prijevoz poduzetnika i zaposlenih
41251;50% usluga održavanja prijevoznih sredstava za osobni prijevoz (s PDV-om)
41252;Servis osob. automob. za slučaj plaće u naravi
4126;Usluge pranja, čišćenja i glačanja
4127;Usluge zaštite na radu i održavanja okoliša
4128;Usluge zaštitara na čuvanju imovine i osoba
4129;Ostale servisne usluge i usluge osoba
413;Usluge registracije prijevoznih sredstava i troškovi dozvola
4130;50% troška registracije osobnih automobila, plovila i zrakoplova za prijevoz osoba poduzetnika (osim osiguranja)
4131;50% troška registracije sred. za osobni prijevoz (s 50% PDV-a) (osim troškova osiguranja)
4132;Troškovi registracije (neto + PDV) – plaća u naravi
4133;Trošak registracije dostavnih i teret. vozila i autobusa (sveukupno) i automob. bez poreznog ograničenja
4134;Troškovi registracije plovila
4135;Troškovi registracije zrakoplova
4136;Troškovi dozvola za prometne smjerove
4137;Troškovi koncesija, licencija i dr. prava na prijevoz
4138;Troškovi god. nadoknade za ceste, takse i sl.
4139;Ostali troškovi registracije prometala
414;Usluge zakupa – lizinga
4140;Zakupnine – najamnine nekretnina
4141;Zakupnine opreme
4142;Usluge operativnog (poslovnog) lizinga opreme
4143;50% usluga operativnog lizinga automobila, brodova i zrakoplova za osobni prijevoz
4144;50% usluga operativnog lizinga sred. za osobni prijevoz (s 50% PDV-a)
4145;Usluge operat. najma osob. automob. za slučaj plaće
4146;50% rent-á-car usluge prijevoza osoba
4147;50% rent-á-car usluga prijevoza osoba (s 50% PDV-a)
4148;Rent-á-car za prijevoz tereta
4149;Troškovi ostalih najmova
41490;Usluge najma informatičke opreme
41491;Usluga najma softvera
41492;Usluge najma fotokopirnih aparata
41493;Usluge web sjedišta (hosting)
41494;50% ostalih troškova lizinga (osiguranje, porez na CMV)
41495;50% ostalih troškova lizinga s 50% PDV-a (osiguranje, porez na CMV)
415;Usluge promidžbe, sponzorstva i troškovi sajmova
4150;Troškovi promidžbe putem tiskovina, TV, plakata i sl.
4151;Usluge promidžbenih agencija
4152;Troškovi promidžbe u inozemstvu
4153;Trošak sponzoriranja športa i kulture u cilju promidžbe
4154;Usluge unapređenja prodaje
4155;Usluge istraživanja tržišta
4156;Usluge sajmova (nadoknada za prostor)
4157;Usluge oblikovanja i uređenja izložbenog i prodajnog prostora
4158;Troškovi promidžbe najmom medija (stranica portala i sl.)
4159;Ostali troškovi promidžbe (osim reprezentacije, dnevnica na službenom putu i sl.)
416;Intelektualne i osobne usluge
4160;Troškovi drugih dohodaka (ugovora o djelu, akvizitera, trgov. putnika, konzultanata)
4161;Autorski honorari (pisana, govorna, prijevodi i dr.)
4162;Usluge specijalističkog obrazovanja, znanstvenoistraživačke usluge, usluge informacija i sl.
4163;Konzultantske i savjetničke usluge
4164;Knjigovodstvene usluge
4165;Usluge poreznih savjetnika
4166;Usluge revizije i procjene vrijednosti poduzeća, due diligence i sl.
4167;Odvjetničke, bilježničke i usluge izrade pravnih akata
4168;Naknade za korištenje prava intelektualnog vlasništva (licencije, ind. prava., robni znak i sl.)
4169;Usluge vještačenja, administrativne usluge (npr. prijepis), i dr. intelektualne usluge
417;Troškovi komunalnih i sličnih usluga
4170;Komunalna naknada
4171;Odvoz smeća i fekalija
4172;Voda i odvodnja
4173;Održavanje zelenila
4174;Usluge tržnica
4175;Garažiranje i parkiranje vozila
4176;Deratizacija i dezinfekcijske usluge
4177;Dimnjačarske i ekološke usluge
4178;Veterinarske, sanitarne i usluge zbrinjavanja otpada
4179;Ostale komunalne usluge
418;Usluge reprezentacije – ugošćivanja
4180;50% vanjskih usluga ugošćenja (reprezentacije) (s 50% PDV-a) – porezno priznato
4181;50% vanjskih usluga ugošćenja (reprezentacije) (s 50% PDV-a) – porezno nepriznato
4182;50% reprezentacije – poklona danih poslovnim partnerima (s 50% PDV-a) po ulaznim računima dobavljača – porezno priznato
4183;50% reprezentacije – poklona danih poslovnim partnerima (s 50% PDV-a) po ulaznim računima dobavljača – porezno nepriznato
419;Troškovi ostalih vanjskih usluga
4190;Usluge kontrole kakvoće i atestiranja dobara
4191;Usluge studentskog servisa
4192;Hotelske usluge (u agencijskim poslovima)
4193;Vanjskotrgovačke usluge
4194;Špediterske usluge pri uvozu i izvozu i sl.
4195;Troškovi oglašavanja u tisku za slobodna radna mjesta, objava fin. izvješća i sl. (osim promidžbe)
4196;Troškovi korištenja javnih skladišta, luka, pristaništa, hlađenja i sl.
4197;Trošak autoputa, tunela i mostarina
4198;Troškovi posredovanja pri nabavi ili prodaji dobara i usluga
4199;Ostali nespomenuti vanjski troškovi – usluge
41990;Troškovi fotokopiranja i dr. grafičke usluge
41991;Usluge agenata i detektiva
41992;Troškovi usluge slaganja robe na policama i sl.
41993;Usluge pozicioniranja proizvoda u trgovačkim lancima
41994;Korištene usluge ugošćenja glazbe, organizacija eventa i sl. (v. pod 4.)
41995;Troškovi usluga za održivo poslovanje
41996;Troškovi ostalih usluga
41997;Usluge vođenja društvenih mreža
42;TROŠKOVI OSOBLJA – PLAĆE
420;Neto plaće i nadoknade
4200;Troškovi neto plaća uprave i prodaje
4201;Troškovi neto plaća proizvodnje
4202;Ostali povremeni primitci
4203;Dodatna plaća (13. plaća), dodatak uz mjesečnu plaću do ukupno 1.200,00 eura godišnje
4204;Bonusi i opcijske dionice
421;Troškovi poreza iz plaća
4210;Uprava i prodaja
4211;Proizvodnja
4212;Ostali povremeni primitci
422;Troškovi doprinosa iz plaća
4220;Uprava i prodaja
4221;Proizvodnja
4222;Ostali povremeni primitci
423;Doprinosi na plaće
4230;Uprava i prodaja
4231;Proizvodnja
4232;Ostali povremeni primitci
4235;Doprinosi za beneficirani radni staž
424;Bruto plaće (privremeno v. napomenu pod 2)
429;Odstupanje od standardnog troška plaće
43;AMORTIZACIJA
430;Amortizacija nematerijalne imovine
4300;Amortizacija izdataka za razvoj
4301;Amortizacija koncesije, patenata i dr. prava
4302;Amortizacija softvera i ost. prava
4303;Amortizacija goodwilla
4304;Amortizacija prava korištenja imovine u operativnom najmu
4305;Amortizacija ostale nematerijalne imovine
431;Amortizacija materijalne imovine
4310;Amortizacija građevina
4311;Amortizacija postrojenja
4312;Amortizacija opreme
4313;Amortizacija alata i inventara
4314;Amortizacija transportnih sredstava
4315;Amortizacija brodova
4316;Amortizacija poljoprivredne opreme
4319;Amortizacija ostale mater. imovine
432;Amortizacija osobnih automobila i dr. sredstava za osobni prijevoz
4320;50% amortizacije osob. aut. i dr. sred. prijevoza
4321;50% amortizacije osob. aut. i dr. sred. prijevoza
4322;Dio amortizacije osob. aut. i dr. sred. prijevoza u vrijednosti iznad 54.000,00 eura
4323;Amortizacija (otpis) nepriznatog PDV-a
4324;Amortiz. osob. aut. za sluč. plaće (neto + nepriznati PDV)
433;Amortizacija objekata i opreme uprave i prodaje
4330;Amortizacija građevinskih objekata
4331;Amortizacija računala, računalne opreme i programa te računalne mreže
4332;Amortizacija osobnih automobila
4333;Amortizacija ostale opreme (pokućstvo, telefonija i dr.)
434;Povećana amortizacija s temelja revalorizacije
435;Amortizacija biološke imovine (vinogradi, voćnjaci, osnovno stado i sl.)
436;Amortizacija iznad porezno dopuštene
439;Odstupanje od standardnog troška amortizacije
44;VRIJEDNOSNO USKLAĐENJE DUGOTRAJNE I KRATKOTRAJNE IMOVINE
440;Vrijednosno usklađenje dugotrajne nematerijalne imovine (018)
4400;Vrijednosno usklađenje prava i dr.
4401;Vrijednosno usklađenje goodwill
4402;Vrijednosno usklađenje ostale nemat. imov.
4403;Vrijednosno usklađenje kriptovaluta
4405;Vrijednosno usklađenje porezno nepriznato
441;Vrijednosno usklađenje dugotrajne materijalne imovine
4410;Vrijednosno usklađenje nekretnina (028)
4411;Vrijednosno usklađenje postrojenja, opreme, alata, pogonskog inventara i transportne imovine (038)
4412;Vrijednosno usklađenje biološke imovine (048)
4413;Vrijednosno usklađenje ulaganja u nekretnine (058)
4414;Vrijednosno usklađenje ostale mater. imovine
4415;Vrijednosno usklađenje porezno nepriznato
442;Vrijednosno usklađenje dugotrajnih potraživanja (veza sa 078)
444;Vrijednosno usklađenje depozita u bankama, mjenica, čekova i sl. (109 i dio 119)
445;Vrijednosno usklađenje kratkotrajnih potraživanja
4450;Vrijednosna usklađenja potraživanja od kupaca koja nisu naplaćena dulje od 60 dana od dospijeća (veza s 129)
4451;Vrijednosna usklađenja kratkoročnih potraživanja od kupaca i drugih koja su utužena (prije zastare, koja su u ovršnom postupku, otvoren je stečaj, nagodba i sl. – dio 129, 139 i 159) i svote do 665,00 eura
4452;Vrijednosna usklađenja zastarjelih potraživanja (dio sa 129, 139 i 159) – porezno nepriznata
446;Vrijednosno usklađenje zaliha (veza s 319, 329, 359 i 369)
447;Vrijednosno usklađenje danih predujmova (veza s 379)
448;Vrijednosno usklađenje potraživanja iz predstečajne nagodbe
449;Otpis zaliha materijala
45;REZERVIRANJA (V. SKUPINU 28)
450;Troškovi dugoročnog rezerviranja za mirovine, otpremnine i sl. obveze (čl. 11. st. 2. ZoPD-a)
4500;Dugoročno rezerviranje za mirovine i sl. obveze
4501;Dugoročno rezerviranje za otpremnine i sl. obveze
4502;Rezerviranje za neiskorišteni godišnji odmor (čl. 11. st. 5. ZoPD-a i MRS 19) – vidi rač. 298
451;Rezerviranja za porezne obveze
452;Troškovi dugoročnog rezerviranja za gubitke po započetim sudskim sporovima (čl. 11. st. 2. ZoPD-a)
453;Troškovi dugoročnog rezerviranja za obnovu prirodnog bogatstva (čl. 11. st. 2. ZoPD-a)
454;Troškovi dugoročnog rezerviranja za rizike u jamstvenom (garancijskom) roku (čl. 11. st. 2. ZoPD-a)
